year_game;year_ceremony;game_name;winner
2014;06/12/2014;Dragon Age: Inquisition;VERDADEIRO
2014;06/12/2014;Bayonetta 2;FALSO
2014;06/12/2014;Dark Souls II;FALSO
2014;06/12/2014;Hearthstone: Heroes of Warcraft;FALSO
2014;06/12/2014;Middle-earth: Shadow of Mordor;FALSO
2015;03/12/2015;The Witcher 3: Wild Hunt;VERDADEIRO
2015;03/12/2015;Bloodborne;FALSO
2015;03/12/2015;Fallout 4;FALSO
2015;03/12/2015;Metal Gear Solid V: The Phantom Pain;FALSO
2015;03/12/2015;Super Mario Maker;FALSO
2016;01/12/2016;Overwatch;VERDADEIRO
2016;01/12/2016;Doom;FALSO
2016;01/12/2016;Inside;FALSO
2016;01/12/2016;Titanfall 2;FALSO
2016;01/12/2016;Uncharted 4: A Thief's End;FALSO
2017;07/12/2017;The Legend of Zelda: Breath of the Wild;VERDADEIRO
2017;07/12/2017;Horizon Zero Dawn;FALSO
2017;07/12/2017;Persona 5;FALSO
2017;07/12/2017;PlayerUnknown's Battlegrounds;FALSO
2017;07/12/2017;Super Mario Odyssey;FALSO
2018;06/12/2018;God of War;VERDADEIRO
2018;06/12/2018;Assassin's Creed Odyssey;FALSO
2018;06/12/2018;Celeste;FALSO
2018;06/12/2018;Marvel's Spider-Man;FALSO
2018;06/12/2018;Monster Hunter: World;FALSO
2018;06/12/2018;Red Dead Redemption 2;FALSO
2019;12/12/2019;Sekiro: Shadows Die Twice;VERDADEIRO
2019;12/12/2019;Control;FALSO
2019;12/12/2019;Death Stranding;FALSO
2019;12/12/2019;Resident Evil 2;FALSO
2019;12/12/2019;Super Smash Bros. Ultimate;FALSO
2019;12/12/2019;The Outer Worlds;FALSO
2020;10/12/2020;The Last of Us Part II;VERDADEIRO
2020;10/12/2020;Animal Crossing: New Horizons;FALSO
2020;10/12/2020;Doom Eternal;FALSO
2020;10/12/2020;Final Fantasy VII Remake;FALSO
2020;10/12/2020;Ghost of Tsushima;FALSO
2020;10/12/2020;Hades;FALSO
2021;09/12/2021;It Takes Two;VERDADEIRO
2021;09/12/2021;Deathloop;FALSO
2021;09/12/2021;Metroid Dread;FALSO
2021;09/12/2021;Psychonauts 2;FALSO
2021;09/12/2021;Ratchet & Clank: Rift Apart;FALSO
2021;09/12/2021;Resident Evil Village;FALSO
2022;08/12/2022;Elden Ring;VERDADEIRO
2022;08/12/2022;A Plague Tale: Requiem;FALSO
2022;08/12/2022;God of War Ragnarok;FALSO
2022;08/12/2022;Horizon Forbidden West;FALSO
2022;08/12/2022;Stray;FALSO
2022;08/12/2022;Xenoblade Chronicles 3;FALSO
2023;07/12/2023;Baldur's Gate 3;VERDADEIRO
2023;07/12/2023;Alan Wake II;FALSO
2023;07/12/2023;The Legend of Zelda: Tears of the Kingdom;FALSO
2023;07/12/2023;Marvel's Spider-Man 2;FALSO
2023;07/12/2023;Cyberpunk 2077;FALSO
2023;07/12/2023;Hi-Fi Rush;FALSO
